gene_id,GO,level
Solyc01g066740,GO:0005515,molecular_function
Solyc01g066820,GO:0003777,molecular_function
Solyc01g066820,GO:0005524,molecular_function
Solyc01g066820,GO:0007018,biological_process
Solyc01g066820,GO:0008017,molecular_function
Solyc01g066830,GO:0006508,biological_process
Solyc01g066830,GO:0008234,molecular_function
Solyc01g066840,GO:0003735,molecular_function
Solyc01g066840,GO:0005622,cellular_component
Solyc01g066840,GO:0005840,cellular_component
Solyc01g066840,GO:0006412,biological_process
Solyc01g066850,GO:0016020,cellular_component
Solyc01g066850,GO:0016021,cellular_component
Solyc01g066870,GO:0003824,molecular_function
Solyc01g066880,GO:0030001,biological_process
Solyc01g066880,GO:0046872,molecular_function
Solyc01g066915,GO:0006508,biological_process
Solyc01g066915,GO:0008234,molecular_function
Solyc01g066940,GO:0016021,cellular_component
Solyc01g066940,GO:0016192,biological_process
Solyc01g067010,GO:0005515,molecular_function
Solyc01g067020,GO:0004672,molecular_function
Solyc01g067020,GO:0005524,molecular_function
Solyc01g067020,GO:0006468,biological_process
Solyc01g067030,GO:0005515,molecular_function
Solyc01g067100,GO:0006511,biological_process
Solyc01g067100,GO:0031625,molecular_function
Solyc01g067120,GO:0006511,biological_process
Solyc01g067120,GO:0031625,molecular_function
Solyc01g067140,GO:0006511,biological_process
Solyc01g067140,GO:0031625,molecular_function
Solyc01g067150,GO:0043531,molecular_function
Solyc01g067200,GO:0006511,biological_process
Solyc01g067200,GO:0031625,molecular_function
Solyc01g067210,GO:0006511,biological_process
Solyc01g067210,GO:0031625,molecular_function
Solyc01g067255,GO:0006511,biological_process
Solyc01g067255,GO:0031625,molecular_function
Solyc01g067270,GO:0006511,biological_process
Solyc01g067270,GO:0031625,molecular_function
Solyc01g067280,GO:0005515,molecular_function
Solyc01g067320,GO:0004672,molecular_function
Solyc01g067320,GO:0005524,molecular_function
Solyc01g067320,GO:0006468,biological_process
Solyc01g067340,GO:0046983,molecular_function
Solyc01g067350,GO:0016758,molecular_function
Solyc01g067360,GO:0008270,molecular_function
Solyc01g067380,GO:0006629,biological_process
Solyc01g067390,GO:0031491,molecular_function
Solyc01g067390,GO:0043044,biological_process
Solyc01g067400,GO:0004672,molecular_function
Solyc01g067400,GO:0005524,molecular_function
Solyc01g067400,GO:0006468,biological_process
Solyc01g067410,GO:0030599,molecular_function
Solyc01g067410,GO:0042545,biological_process
Solyc01g067420,GO:0030599,molecular_function
Solyc01g067420,GO:0042545,biological_process
Solyc01g067440,GO:0009055,molecular_function
Solyc01g067440,GO:0015035,molecular_function
Solyc01g067440,GO:0045454,biological_process
Solyc01g067460,GO:0009055,molecular_function
Solyc01g067460,GO:0015035,molecular_function
Solyc01g067460,GO:0045454,biological_process
Solyc01g067480,GO:0005515,molecular_function
Solyc01g067490,GO:0005515,molecular_function
Solyc01g067500,GO:0005509,molecular_function
Solyc01g067510,GO:0004672,molecular_function
Solyc01g067510,GO:0006468,biological_process
Solyc01g067520,GO:0016020,cellular_component
Solyc01g067520,GO:0016760,molecular_function
Solyc01g067520,GO:0030244,biological_process
Solyc01g067530,GO:0005525,molecular_function
Solyc01g067540,GO:0003700,molecular_function
Solyc01g067540,GO:0006355,biological_process
Solyc01g067550,GO:0046872,molecular_function
Solyc01g067600,GO:0008270,molecular_function
